Name,Description,Node Assignment
400-LZT-046,Уровень в резервуаре T-4050A,40127-ESD-01-04A
400-LZT-048,Уровень в резервуаре T-4050A,40127-ESD-01-04A
400-LZT-063,Уровень в резервуаре T-4050B,40127-ESD-01-04A
400-LZT-065,Уровень в резервуаре,40127-ESD-01-04A
400-LZT-401,Заполнение (уровень) насоса Р-4070А,40127-ESD-01-04A
400-LZT-402,Заполнение (уровень) насоса Р-4070B,40127-ESD-01-04A
400-PZT-054,Давление на входе насоса P-4060А,40127-ESD-01-04A
400-PZT-055,Давление на входе насоса P-4060B,40127-ESD-01-04A
400-PZT-056,Давление на выходе насоса P-4060А,40127-ESD-01-04A
400-PZT-058,Давление на выходе насоса P-4060B,40127-ESD-01-04A
400-QE-001,Загазованность в помещении насосной,40127-ESD-01-04A
400-QT-4050A,Загазованность в каре уравнительных резервуаров,40127-ESD-01-04A
400-QT-4050B,Загазованность в каре уравнительных резервуаров,40127-ESD-01-04A
400-TZT-01A,Температура подшипника двигателя со стороны свободного конца вала Р-4070A,40127-ESD-01-04A
400-TZT-01B,Температура подшипника двигателя со стороны свободного конца вала Р-4070B,40127-ESD-01-04A
400-TZT-02A,Температура подшипника двигателя со стороны насоса Р-4070A,40127-ESD-01-04A
400-TZT-02B,Температура подшипника двигателя со стороны насоса Р-4070B,40127-ESD-01-04A
400-TZT-03A,Температура подшипника насоса со стороны свободного конца вала Р-4070A,40127-ESD-01-04A
400-TZT-03B,Температура подшипника насоса со стороны свободного конца вала Р-4070B,40127-ESD-01-04A
400-TZT-04A,Температура подшипника насоса со стороны двигателя Р-4070A,40127-ESD-01-04A
400-TZT-04B,Температура подшипника насоса со стороны двигателя Р-4070B,40127-ESD-01-04A
400-TZT-061,Температура пластовой воды,40127-ESD-01-04A
400-TZT-072,Температура пластовой воды,40127-ESD-01-04A
400-XZS-01B,Смещение ограждения на соединительной муфте насоса Р-4070B,40127-ESD-01-04A
400-XZS-739,Смещение ограждения на соединительной муфте насоса Р-4060А,40127-ESD-01-04A
400-XZS-789,Смещение ограждения на соединительной муфте насоса Р-4060B,40127-ESD-01-04A
400-ZHC-048,Открыть/Закрыть клапан,40127-ESD-01-04A
400-ZHC-065,Открыть/Закрыть клапан,40127-ESD-01-04A
400-ZHC-066,Простой дискретный выход,40127-ESD-01-04A
40127-TZT-1,Перегрев ТЭН закрытой дренажной системы,40127-ESD-01-04A
4060_STOP_ALG,Алгоритм закрытия клапанов по остановке насосов,40127-ESD-01-04A
410-XZV-009,Клапан отсекатель,40127-ESD-01-04A
410-XZV-010,Клапан отсекатель,40127-ESD-01-04A
430-LS-519,Заполнение (уровень) насоса Р-4315А,40127-ESD-01-04A
430-LS-569,Заполнение (уровень) насоса Р-4315B,40127-ESD-01-04A
430-LS-619C,Заполнение (уровень) насоса Р-4320C,40127-ESD-01-04A
430-LS-669D,Заполнение (уровень) насоса Р-4320D,40127-ESD-01-04A
430-LS-719,Заполнение (уровень) насоса Р-4060А,40127-ESD-01-04A
430-LS-769,Заполнение (уровень) насоса Р-4060B,40127-ESD-01-04A
430-LSLL-505,Уровень нижний среды со стороны двигателя  Р-4315А,40127-ESD-01-04A
430-LSLL-515,Уровень нижний среды со стороны свободного конца вала Р-4315А,40127-ESD-01-04A
430-LSLL-555,Уровень нижний среды со стороны двигателя  Р-4315B,40127-ESD-01-04A
430-LSLL-565,Уровень нижний среды со стороны свободного конца вала Р-4315B,40127-ESD-01-04A
430-LSLL-605C,Уровень нижний среды со стороны двигателя  Р-4320C,40127-ESD-01-04A
430-LSLL-615C,Уровень нижний среды со стороны свободного конца вала Р-4320C,40127-ESD-01-04A
430-LSLL-655D,Уровень нижний среды со стороны двигателя  Р-4320D,40127-ESD-01-04A
430-LSLL-665D,Уровень нижний среды со стороны свободного конца вала Р-4320D,40127-ESD-01-04A
430-LSLL-705,Уровень нижний среды со стороны двигателя  Р-4060А,40127-ESD-01-04A
430-LSLL-715,Уровень нижний среды со стороны свободного конца вала Р-4060А,40127-ESD-01-04A
430-LSLL-755,Уровень нижний среды со стороны двигателя  Р-4060B,40127-ESD-01-04A
430-LSLL-765,Уровень нижний среды со стороны свободного конца вала Р-4060B,40127-ESD-01-04A
430-LZT-002,Уровень в резервуаре T-4310A,40127-ESD-01-04A
430-LZT-003,Уровень в резервуаре,40127-ESD-01-04A
430-LZT-057,Уровень в резервуаре,40127-ESD-01-04A
430-LZT-058,Уровень в резервуаре T-4310B,40127-ESD-01-04A
430-PZT-032,Давление на входе насоса P-4315A,40127-ESD-01-04A
430-PZT-033,Давление на выходе насоса P-4315A,40127-ESD-01-04A
430-PZT-034,Давление на входе насоса P-4315B,40127-ESD-01-04A
430-PZT-035,Давление на выходе насоса P-4315B,40127-ESD-01-04A
430-TZT-005,Температура пластовой воды,40127-ESD-01-04A
430-TZT-059,Температура пластовой воды,40127-ESD-01-04A
